branch,buy,crawl_mode,currency,date,gold_type,provider,raw_hash,reference_date,sell,source,spread,timestamp,unit
Hồ Chí Minh,143700000.0,raw_range,VND,2026-06-19,"Vàng SJC 1L, 10L, 1KG",SJC,130e4a9f7693f31159b00c8a5f88da8c8b1a2828a717dcc199e9bbb90fed4fdb,2026-06-06/2026-07-07,146700000.0,sjc_official,3000000.0,2026-06-19T04:12:47.220000+00:00,VND/lượng
Hồ Chí Minh,144200000.0,raw_range,VND,2026-06-20,"Vàng SJC 1L, 10L, 1KG",SJC,130e4a9f7693f31159b00c8a5f88da8c8b1a2828a717dcc199e9bbb90fed4fdb,2026-06-06/2026-07-07,147200000.0,sjc_official,3000000.0,2026-06-20T01:30:17.147000+00:00,VND/lượng
Hồ Chí Minh,145700000.0,raw_range,VND,2026-06-22,"Vàng SJC 1L, 10L, 1KG",SJC,130e4a9f7693f31159b00c8a5f88da8c8b1a2828a717dcc199e9bbb90fed4fdb,2026-06-06/2026-07-07,148700000.0,sjc_official,3000000.0,2026-06-22T01:30:19.240000+00:00,VND/lượng
Hồ Chí Minh,145000000.0,raw_range,VND,2026-06-22,"Vàng SJC 1L, 10L, 1KG",SJC,130e4a9f7693f31159b00c8a5f88da8c8b1a2828a717dcc199e9bbb90fed4fdb,2026-06-06/2026-07-07,148000000.0,sjc_official,3000000.0,2026-06-22T04:09:18.257000+00:00,VND/lượng
Hồ Chí Minh,145600000.0,raw_range,VND,2026-06-22,"Vàng SJC 1L, 10L, 1KG",SJC,130e4a9f7693f31159b00c8a5f88da8c8b1a2828a717dcc199e9bbb90fed4fdb,2026-06-06/2026-07-07,148600000.0,sjc_official,3000000.0,2026-06-22T06:13:06.687000+00:00,VND/lượng
Hồ Chí Minh,145000000.0,raw_range,VND,2026-06-23,"Vàng SJC 1L, 10L, 1KG",SJC,130e4a9f7693f31159b00c8a5f88da8c8b1a2828a717dcc199e9bbb90fed4fdb,2026-06-06/2026-07-07,148000000.0,sjc_official,3000000.0,2026-06-23T01:31:37.540000+00:00,VND/lượng
Hồ Chí Minh,144000000.0,raw_range,VND,2026-06-23,"Vàng SJC 1L, 10L, 1KG",SJC,130e4a9f7693f31159b00c8a5f88da8c8b1a2828a717dcc199e9bbb90fed4fdb,2026-06-06/2026-07-07,147000000.0,sjc_official,3000000.0,2026-06-23T08:19:09.573000+00:00,VND/lượng
Hồ Chí Minh,144000000.0,raw_range,VND,2026-06-24,"Vàng SJC 1L, 10L, 1KG",SJC,130e4a9f7693f31159b00c8a5f88da8c8b1a2828a717dcc199e9bbb90fed4fdb,2026-06-06/2026-07-07,147000000.0,sjc_official,3000000.0,2026-06-24T01:29:03.773000+00:00,VND/lượng
Hồ Chí Minh,143200000.0,raw_range,VND,2026-06-25,"Vàng SJC 1L, 10L, 1KG",SJC,130e4a9f7693f31159b00c8a5f88da8c8b1a2828a717dcc199e9bbb90fed4fdb,2026-06-06/2026-07-07,146200000.0,sjc_official,3000000.0,2026-06-25T01:26:17.523000+00:00,VND/lượng
Hồ Chí Minh,143800000.0,raw_range,VND,2026-06-26,"Vàng SJC 1L, 10L, 1KG",SJC,130e4a9f7693f31159b00c8a5f88da8c8b1a2828a717dcc199e9bbb90fed4fdb,2026-06-06/2026-07-07,146800000.0,sjc_official,3000000.0,2026-06-26T01:29:09.207000+00:00,VND/lượng
Hồ Chí Minh,143200000.0,raw_range,VND,2026-06-26,"Vàng SJC 1L, 10L, 1KG",SJC,130e4a9f7693f31159b00c8a5f88da8c8b1a2828a717dcc199e9bbb90fed4fdb,2026-06-06/2026-07-07,146200000.0,sjc_official,3000000.0,2026-06-26T03:41:04.567000+00:00,VND/lượng
Hồ Chí Minh,143800000.0,raw_range,VND,2026-06-26,"Vàng SJC 1L, 10L, 1KG",SJC,130e4a9f7693f31159b00c8a5f88da8c8b1a2828a717dcc199e9bbb90fed4fdb,2026-06-06/2026-07-07,146800000.0,sjc_official,3000000.0,2026-06-26T06:27:02.860000+00:00,VND/lượng
Hồ Chí Minh,144000000.0,raw_range,VND,2026-06-26,"Vàng SJC 1L, 10L, 1KG",SJC,130e4a9f7693f31159b00c8a5f88da8c8b1a2828a717dcc199e9bbb90fed4fdb,2026-06-06/2026-07-07,147000000.0,sjc_official,3000000.0,2026-06-26T07:13:12.910000+00:00,VND/lượng
Hồ Chí Minh,145500000.0,raw_range,VND,2026-06-27,"Vàng SJC 1L, 10L, 1KG",SJC,130e4a9f7693f31159b00c8a5f88da8c8b1a2828a717dcc199e9bbb90fed4fdb,2026-06-06/2026-07-07,148500000.0,sjc_official,3000000.0,2026-06-27T01:32:35.553000+00:00,VND/lượng
Hồ Chí Minh,145000000.0,raw_range,VND,2026-06-29,"Vàng SJC 1L, 10L, 1KG",SJC,130e4a9f7693f31159b00c8a5f88da8c8b1a2828a717dcc199e9bbb90fed4fdb,2026-06-06/2026-07-07,148000000.0,sjc_official,3000000.0,2026-06-29T01:29:20.587000+00:00,VND/lượng
Hồ Chí Minh,143000000.0,raw_range,VND,2026-06-30,"Vàng SJC 1L, 10L, 1KG",SJC,130e4a9f7693f31159b00c8a5f88da8c8b1a2828a717dcc199e9bbb90fed4fdb,2026-06-06/2026-07-07,146000000.0,sjc_official,3000000.0,2026-06-30T01:33:35.733000+00:00,VND/lượng
Hồ Chí Minh,144000000.0,raw_range,VND,2026-06-30,"Vàng SJC 1L, 10L, 1KG",SJC,130e4a9f7693f31159b00c8a5f88da8c8b1a2828a717dcc199e9bbb90fed4fdb,2026-06-06/2026-07-07,147000000.0,sjc_official,3000000.0,2026-06-30T06:38:21.973000+00:00,VND/lượng
Hồ Chí Minh,143400000.0,raw_range,VND,2026-07-01,"Vàng SJC 1L, 10L, 1KG",SJC,130e4a9f7693f31159b00c8a5f88da8c8b1a2828a717dcc199e9bbb90fed4fdb,2026-06-06/2026-07-07,146400000.0,sjc_official,3000000.0,2026-07-01T01:28:54.233000+00:00,VND/lượng
Hồ Chí Minh,145400000.0,raw_range,VND,2026-07-02,"Vàng SJC 1L, 10L, 1KG",SJC,130e4a9f7693f31159b00c8a5f88da8c8b1a2828a717dcc199e9bbb90fed4fdb,2026-06-06/2026-07-07,148400000.0,sjc_official,3000000.0,2026-07-02T01:30:50.620000+00:00,VND/lượng
Hồ Chí Minh,148400000.0,raw_range,VND,2026-07-03,"Vàng SJC 1L, 10L, 1KG",SJC,130e4a9f7693f31159b00c8a5f88da8c8b1a2828a717dcc199e9bbb90fed4fdb,2026-06-06/2026-07-07,151400000.0,sjc_official,3000000.0,2026-07-03T01:32:46.757000+00:00,VND/lượng
Hồ Chí Minh,148400000.0,raw_range,VND,2026-07-04,"Vàng SJC 1L, 10L, 1KG",SJC,130e4a9f7693f31159b00c8a5f88da8c8b1a2828a717dcc199e9bbb90fed4fdb,2026-06-06/2026-07-07,151400000.0,sjc_official,3000000.0,2026-07-04T01:29:31.350000+00:00,VND/lượng
Hồ Chí Minh,148400000.0,raw_range,VND,2026-07-06,"Vàng SJC 1L, 10L, 1KG",SJC,130e4a9f7693f31159b00c8a5f88da8c8b1a2828a717dcc199e9bbb90fed4fdb,2026-06-06/2026-07-07,151400000.0,sjc_official,3000000.0,2026-07-06T01:31:28.560000+00:00,VND/lượng
Hồ Chí Minh,148000000.0,raw_range,VND,2026-07-06,"Vàng SJC 1L, 10L, 1KG",SJC,130e4a9f7693f31159b00c8a5f88da8c8b1a2828a717dcc199e9bbb90fed4fdb,2026-06-06/2026-07-07,151000000.0,sjc_official,3000000.0,2026-07-06T06:01:05.827000+00:00,VND/lượng
Hồ Chí Minh,147500000.0,raw_range,VND,2026-07-07,"Vàng SJC 1L, 10L, 1KG",SJC,130e4a9f7693f31159b00c8a5f88da8c8b1a2828a717dcc199e9bbb90fed4fdb,2026-06-06/2026-07-07,150500000.0,sjc_official,3000000.0,2026-07-07T01:33:42.900000+00:00,VND/lượng
Hồ Chí Minh,147000000.0,raw_range,VND,2026-07-07,"Vàng SJC 1L, 10L, 1KG",SJC,130e4a9f7693f31159b00c8a5f88da8c8b1a2828a717dcc199e9bbb90fed4fdb,2026-06-06/2026-07-07,150000000.0,sjc_official,3000000.0,2026-07-07T06:25:26.400000+00:00,VND/lượng
