asset,available_from,date,high,low,note,open,series_id,source,unit,value,volume
gld_spdr_gold_etf,2016-12-10,2016-12-09,111.25,110.19,no_shares_outstanding,111.18,GLD,yfinance_ticker_v2,usd_per_share,110.4,10507700.0
gld_spdr_gold_etf,2016-12-13,2016-12-12,111.11,110.27,no_shares_outstanding,110.59,GLD,yfinance_ticker_v2,usd_per_share,110.82,6156700.0
gld_spdr_gold_etf,2016-12-14,2016-12-13,110.79,110.06,no_shares_outstanding,110.57,GLD,yfinance_ticker_v2,usd_per_share,110.45,7961600.0
gld_spdr_gold_etf,2016-12-15,2016-12-14,110.98,108.52,no_shares_outstanding,110.95,GLD,yfinance_ticker_v2,usd_per_share,108.83,12933600.0
gld_spdr_gold_etf,2016-12-16,2016-12-15,107.99,107.0,no_shares_outstanding,107.85,GLD,yfinance_ticker_v2,usd_per_share,107.34,14427500.0
gld_spdr_gold_etf,2016-12-17,2016-12-16,108.78,107.48,no_shares_outstanding,107.95,GLD,yfinance_ticker_v2,usd_per_share,108.05,10602800.0
gld_spdr_gold_etf,2016-12-20,2016-12-19,108.88,108.34,no_shares_outstanding,108.6,GLD,yfinance_ticker_v2,usd_per_share,108.59,5339100.0
gld_spdr_gold_etf,2016-12-21,2016-12-20,108.0,107.29,no_shares_outstanding,107.47,GLD,yfinance_ticker_v2,usd_per_share,107.79,7321100.0
gld_spdr_gold_etf,2016-12-22,2016-12-21,108.31,107.68,no_shares_outstanding,108.25,GLD,yfinance_ticker_v2,usd_per_share,107.85,5188700.0
gld_spdr_gold_etf,2016-12-23,2016-12-22,108.1,107.49,no_shares_outstanding,107.68,GLD,yfinance_ticker_v2,usd_per_share,107.59,4942800.0
gld_spdr_gold_etf,2016-12-24,2016-12-23,108.25,107.8,no_shares_outstanding,107.84,GLD,yfinance_ticker_v2,usd_per_share,107.93,5012200.0
gld_spdr_gold_etf,2016-12-28,2016-12-27,108.67,108.24,no_shares_outstanding,108.61,GLD,yfinance_ticker_v2,usd_per_share,108.56,3685500.0
gld_spdr_gold_etf,2016-12-29,2016-12-28,108.91,108.29,no_shares_outstanding,108.4,GLD,yfinance_ticker_v2,usd_per_share,108.86,5091200.0
gld_spdr_gold_etf,2016-12-30,2016-12-29,110.53,109.16,no_shares_outstanding,109.23,GLD,yfinance_ticker_v2,usd_per_share,110.29,7563900.0
gld_spdr_gold_etf,2016-12-31,2016-12-30,110.62,109.53,no_shares_outstanding,110.38,GLD,yfinance_ticker_v2,usd_per_share,109.61,8873700.0
gld_spdr_gold_etf,2017-01-04,2017-01-03,111.0,109.37,no_shares_outstanding,109.62,GLD,yfinance_ticker_v2,usd_per_share,110.47,7527400.0
gld_spdr_gold_etf,2017-01-05,2017-01-04,111.22,110.61,no_shares_outstanding,111.06,GLD,yfinance_ticker_v2,usd_per_share,110.86,4904100.0
gld_spdr_gold_etf,2017-01-06,2017-01-05,112.94,112.07,no_shares_outstanding,112.16,GLD,yfinance_ticker_v2,usd_per_share,112.58,9606800.0
gld_spdr_gold_etf,2017-01-07,2017-01-06,112.38,111.57,no_shares_outstanding,111.81,GLD,yfinance_ticker_v2,usd_per_share,111.75,7686100.0
gld_spdr_gold_etf,2017-01-10,2017-01-09,113.04,112.18,no_shares_outstanding,112.39,GLD,yfinance_ticker_v2,usd_per_share,112.67,5674600.0
gld_spdr_gold_etf,2017-01-11,2017-01-10,113.45,112.64,no_shares_outstanding,112.94,GLD,yfinance_ticker_v2,usd_per_share,113.15,6093400.0
gld_spdr_gold_etf,2017-01-12,2017-01-11,114.19,112.17,no_shares_outstanding,112.87,GLD,yfinance_ticker_v2,usd_per_share,113.5,9918700.0
gld_spdr_gold_etf,2017-01-13,2017-01-12,114.93,113.81,no_shares_outstanding,114.52,GLD,yfinance_ticker_v2,usd_per_share,113.91,8457300.0
gld_spdr_gold_etf,2017-01-14,2017-01-13,114.31,113.19,no_shares_outstanding,113.65,GLD,yfinance_ticker_v2,usd_per_share,114.21,7261500.0
gld_spdr_gold_etf,2017-01-18,2017-01-17,115.96,115.5,no_shares_outstanding,115.89,GLD,yfinance_ticker_v2,usd_per_share,115.85,9142400.0
gld_spdr_gold_etf,2017-01-19,2017-01-18,115.92,114.56,no_shares_outstanding,115.74,GLD,yfinance_ticker_v2,usd_per_share,114.87,6498100.0
gld_spdr_gold_etf,2017-01-20,2017-01-19,114.96,113.94,no_shares_outstanding,114.32,GLD,yfinance_ticker_v2,usd_per_share,114.77,6437000.0
gld_spdr_gold_etf,2017-01-21,2017-01-20,115.76,114.32,no_shares_outstanding,114.65,GLD,yfinance_ticker_v2,usd_per_share,115.05,12261500.0
gld_spdr_gold_etf,2017-01-24,2017-01-23,116.17,115.2,no_shares_outstanding,115.51,GLD,yfinance_ticker_v2,usd_per_share,115.79,6373100.0
gld_spdr_gold_etf,2017-01-25,2017-01-24,116.02,114.94,no_shares_outstanding,115.69,GLD,yfinance_ticker_v2,usd_per_share,115.27,5798800.0
gld_spdr_gold_etf,2017-01-26,2017-01-25,114.44,113.68,no_shares_outstanding,114.14,GLD,yfinance_ticker_v2,usd_per_share,114.32,6697500.0
gld_spdr_gold_etf,2017-01-27,2017-01-26,113.51,112.83,no_shares_outstanding,113.24,GLD,yfinance_ticker_v2,usd_per_share,113.26,5390500.0
gld_spdr_gold_etf,2017-01-28,2017-01-27,113.55,112.81,no_shares_outstanding,112.93,GLD,yfinance_ticker_v2,usd_per_share,113.49,6706600.0
gld_spdr_gold_etf,2017-01-31,2017-01-30,114.3,113.54,no_shares_outstanding,113.61,GLD,yfinance_ticker_v2,usd_per_share,113.97,7687800.0
gld_spdr_gold_etf,2017-02-01,2017-01-31,115.82,115.18,no_shares_outstanding,115.27,GLD,yfinance_ticker_v2,usd_per_share,115.55,10421900.0
