date,phase,horizon_months,fold,selected_model,ensemble_return_forecast,prob_positive,q10_floor_return,buy_signal,buy_signal_any,signal_count_per_fold,fold_count,avg_actual_return,strategy_return,actual_net_return,prob_threshold,q10_floor
2023-04-04,validation,1,1,sarimax_exog,-0.0273525937916572,0.2704391145294067,-0.0419418142019249,False,False,0,1,-0.0104399701715137,0.0,-0.0104399701715137,0.5,-0.1
2023-04-05,validation,1,1,sarimax_exog,-0.0268295640784123,0.2743221660494701,-0.0426091467984512,False,False,0,1,-0.0096798212956068,0.0,-0.0096798212956068,0.5,-0.1
2023-04-06,validation,1,1,sarimax_exog,-0.0268374533350046,0.2742633911653517,-0.0450165033108246,False,False,0,1,-0.0111773472429209,0.0,-0.0111773472429209,0.5,-0.1
2023-04-07,validation,1,1,sarimax_exog,-0.0252358598443838,0.286321099678036,-0.0418217096249679,False,False,0,1,-0.0104399701715137,0.0,-0.0104399701715137,0.5,-0.1
2023-04-08,validation,1,1,sarimax_exog,-0.0250363564505905,0.2878405240247701,-0.0433799412291306,False,False,0,1,-0.0089418777943368,0.0,-0.0089418777943368,0.5,-0.1
2023-04-09,validation,1,1,sarimax_exog,-0.0253747760592891,0.2852653630682609,-0.0406333665433621,False,False,0,1,-0.0074515648286139,0.0,-0.0074515648286139,0.5,-0.1
2023-04-10,validation,1,1,sarimax_exog,-0.0250840731029325,0.2874767661316695,-0.0416048108292186,False,False,0,1,-0.0082028337061894,0.0,-0.0082028337061894,0.5,-0.1
2023-04-11,validation,1,1,sarimax_exog,-0.0266589953912798,0.2755944195731081,-0.0405036810197503,False,False,0,1,-0.0052238805970149,0.0,-0.0052238805970149,0.5,-0.1
2023-04-12,validation,1,1,sarimax_exog,-0.0263453298223602,0.2779415643908599,-0.0418905948452045,False,False,0,1,-0.0067164179104477,0.0,-0.0067164179104477,0.5,-0.1
2023-04-13,validation,1,1,sarimax_exog,-0.0246301232608864,0.2909461263313501,-0.0411974054643284,False,False,0,1,-0.0081967213114754,0.0,-0.0081967213114754,0.5,-0.1
2023-04-14,validation,1,1,sarimax_exog,-0.0248239855589451,0.2894621201422251,-0.0415276758269782,False,False,0,1,-0.0081967213114754,0.0,-0.0081967213114754,0.5,-0.1
2023-04-15,validation,1,1,sarimax_exog,-0.0248714189179594,0.2890995622520271,-0.0428530408100257,False,False,0,1,-0.0052238805970149,0.0,-0.0052238805970149,0.5,-0.1
2023-04-16,validation,1,1,sarimax_exog,-0.0248451012891809,0.2893006952348209,-0.0421161481506465,False,False,0,1,-0.0067164179104477,0.0,-0.0067164179104477,0.5,-0.1
2023-04-17,validation,1,1,sarimax_exog,-0.0257279165587267,0.2825899450826632,-0.0409561420787221,False,False,0,1,-0.0104166666666666,0.0,-0.0104166666666666,0.5,-0.1
2023-04-18,validation,1,1,sarimax_exog,-0.025627919842265,0.2833463021309632,-0.0410663246193444,False,False,0,1,-0.0081967213114754,0.0,-0.0081967213114754,0.5,-0.1
2023-04-19,validation,1,1,sarimax_exog,-0.025869148235576,0.2815233505187441,-0.0404896913756641,False,False,0,1,-0.0044809559372666,0.0,-0.0044809559372666,0.5,-0.1
2023-04-20,validation,1,1,sarimax_exog,-0.0254571439236288,0.2846402602004028,-0.0418551327019006,False,False,0,1,-0.0044776119402984,0.0,-0.0044776119402984,0.5,-0.1
2023-04-21,validation,1,1,sarimax_exog,-0.025770016514796,0.2822717992173005,-0.0419481499872211,False,False,0,1,-0.0037341299477221,0.0,-0.0037341299477221,0.5,-0.1
2023-04-22,validation,1,1,sarimax_exog,-0.0255244254482475,0.2841301357458281,-0.043669718578205,False,False,0,1,-0.005227781926811,0.0,-0.005227781926811,0.5,-0.1
2023-04-23,validation,1,1,sarimax_exog,-0.0255387447212791,0.2840216243385735,-0.0417882216980744,False,False,0,1,-0.005227781926811,0.0,-0.005227781926811,0.5,-0.1
2023-04-24,validation,1,1,sarimax_exog,-0.0251478348695761,0.286991031276441,-0.0413579998070848,False,False,0,1,-0.005227781926811,0.0,-0.005227781926811,0.5,-0.1
2023-04-25,validation,1,1,sarimax_exog,-0.0237866051249869,0.2974442366669164,-0.0456303389452901,False,False,0,1,-0.005227781926811,0.0,-0.005227781926811,0.5,-0.1
2023-04-26,validation,1,1,sarimax_exog,-0.0234034133263648,0.3004179181777258,-0.0426640069805497,False,False,0,1,-0.005227781926811,0.0,-0.005227781926811,0.5,-0.1
2023-04-27,validation,1,1,sarimax_exog,-0.0235903927831241,0.2989652237976173,-0.0427710850294073,False,False,0,1,-0.005227781926811,0.0,-0.005227781926811,0.5,-0.1
2023-04-28,validation,1,1,sarimax_exog,-0.0235470319166482,0.2993018219629281,-0.0422882267349415,False,False,0,1,-0.005227781926811,0.0,-0.005227781926811,0.5,-0.1
2023-04-29,validation,1,1,sarimax_exog,-0.0236612107866876,0.2984158536560892,-0.0388904789664312,False,False,0,1,-0.005227781926811,0.0,-0.005227781926811,0.5,-0.1
2023-04-30,validation,1,1,sarimax_exog,-0.0237165016599122,0.297987254747492,-0.0398210842243848,False,False,0,1,-0.005227781926811,0.0,-0.005227781926811,0.5,-0.1
2023-05-01,validation,1,1,sarimax_exog,-0.0244300838839573,0.2924811343839697,-0.0420664490469212,False,False,0,1,-0.005227781926811,0.0,-0.005227781926811,0.5,-0.1
2023-05-02,validation,1,1,sarimax_exog,-0.0241904908163972,0.2943245973367137,-0.0435730525968667,False,False,0,1,-0.005227781926811,0.0,-0.005227781926811,0.5,-0.1
2023-05-03,validation,1,1,sarimax_exog,-0.024045016564224,0.2954465083706656,-0.0436490308346337,False,False,0,1,-0.0089619118745332,0.0,-0.0089619118745332,0.5,-0.1
2023-05-04,validation,1,1,sarimax_exog,-0.0231110401994262,0.3026958126207507,-0.0436355537921683,False,False,0,1,-0.0089619118745332,0.0,-0.0089619118745332,0.5,-0.1
2023-05-05,validation,1,1,sarimax_exog,-0.0244012696296881,0.2927025512063195,-0.0428982173068788,False,False,0,1,-0.0081967213114754,0.0,-0.0081967213114754,0.5,-0.1
2023-05-06,validation,1,1,sarimax_exog,-0.0245974564741021,0.2911965385417984,-0.0399781557440732,False,False,0,1,-0.0096942580164056,0.0,-0.0096942580164056,0.5,-0.1
2023-05-07,validation,1,1,sarimax_exog,-0.0245171528691909,0.2918125453512945,-0.0399642737044537,False,False,0,1,-0.0089485458612975,0.0,-0.0089485458612975,0.5,-0.1
2023-05-08,validation,1,1,sarimax_exog,-0.0247643270830789,0.2899184239557627,-0.0414850315244761,False,False,0,1,-0.0104321907600596,0.0,-0.0104321907600596,0.5,-0.1
2023-05-09,validation,1,1,sarimax_exog,-0.024705783622168,0.2903665271245776,-0.0421408133479316,False,False,0,1,-0.0104166666666666,0.0,-0.0104166666666666,0.5,-0.1
