model,horizon_days,fold,phase,mae,rmse,directional_accuracy,pinball_loss
elastic_net,21,1,validation,0.017814484447867596,0.023195709789105505,0.6547945205479452,
random_forest,21,1,validation,0.016279422630240944,0.021635538945318025,0.7534246575342466,
lightgbm_mean,21,1,validation,0.016092321640485786,0.021729693762684753,0.7506849315068493,
xgboost_mean,21,1,validation,0.021591316444203992,0.025731902325639048,0.7506849315068493,
catboost_mean,21,1,validation,0.014532016749723625,0.019716318324886954,0.7506849315068493,
sklearn_gbr_q05,21,1,validation,,,,0.0017475885577959787
sklearn_gbr_q10,21,1,validation,,,,0.002925831137499649
sklearn_gbr_q50,21,1,validation,,,,0.0067698273636046385
sklearn_gbr_q90,21,1,validation,,,,0.003460570897197122
lightgbm_q10,21,1,validation,,,,0.0028746564156617253
catboost_q10,21,1,validation,,,,0.0032725293940033366
ridge,21,2,validation,0.03686323646663754,0.05111319502420342,0.4781420765027322,
elastic_net,21,2,validation,0.03289321994916981,0.04571639612627643,0.5819672131147541,
random_forest,21,2,validation,0.03900836069256586,0.04950596271787294,0.6010928961748634,
lightgbm_mean,21,2,validation,0.033227983593669484,0.047459207643606637,0.6010928961748634,
xgboost_mean,21,2,validation,0.03675840110423201,0.051016654059628345,0.6010928961748634,
catboost_mean,21,2,validation,0.03244048320195559,0.047379214041825754,0.6010928961748634,
sklearn_gbr_q05,21,2,validation,,,,0.009251480273113417
sklearn_gbr_q10,21,2,validation,,,,0.011148547331261825
sklearn_gbr_q50,21,2,validation,,,,0.015576956421053898
sklearn_gbr_q90,21,2,validation,,,,0.005894768558203614
lightgbm_q10,21,2,validation,,,,0.011236650327100701
catboost_q10,21,2,validation,,,,0.01117812101147416
ridge,21,3,test,0.06929922030230164,0.08981669041748562,0.3643835616438356,
elastic_net,21,3,test,0.055672107270826394,0.07278103398367335,0.34794520547945207,
random_forest,21,3,test,0.1339500362958569,0.14475591834155532,0.37534246575342467,
lightgbm_mean,21,3,test,0.12290345788914914,0.1340181512589108,0.3643835616438356,
xgboost_mean,21,3,test,0.0783913088098467,0.09225378611571818,0.3589041095890411,
catboost_mean,21,3,test,0.11230962870884398,0.12340624931742095,0.35342465753424657,
sklearn_gbr_q05,21,3,test,,,,0.006047343661331969
sklearn_gbr_q10,21,3,test,,,,0.012751552955278833
sklearn_gbr_q50,21,3,test,,,,0.035344852230418784
sklearn_gbr_q90,21,3,test,,,,0.01581550320692336
lightgbm_q10,21,3,test,,,,0.017959650357633687
catboost_q10,21,3,test,,,,0.013284884853222581
ridge,21,4,test,0.07247735993261226,0.08271865856800852,0.4619883040935672,
elastic_net,21,4,test,0.06742046900324268,0.07847891493308003,0.36257309941520466,
random_forest,21,4,test,0.059315185401029195,0.07063503502412456,0.7426900584795322,
