asset,available_from,date,note,series_id,source,unit,value
geopolitical_risk_proxy_vix,2010-08-03,2010-08-03,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,22.63
geopolitical_risk_proxy_vix,2010-08-04,2010-08-04,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,22.21
geopolitical_risk_proxy_vix,2010-08-05,2010-08-05,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,22.1
geopolitical_risk_proxy_vix,2010-08-06,2010-08-06,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,21.74
geopolitical_risk_proxy_vix,2010-08-09,2010-08-09,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,22.14
geopolitical_risk_proxy_vix,2010-08-10,2010-08-10,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,22.37
geopolitical_risk_proxy_vix,2010-08-11,2010-08-11,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,25.39
geopolitical_risk_proxy_vix,2010-08-12,2010-08-12,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,25.73
geopolitical_risk_proxy_vix,2010-08-13,2010-08-13,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,26.24
geopolitical_risk_proxy_vix,2010-08-16,2010-08-16,VIX as GPR proxy; GDELT blocked from VN network; no imputation,GPR_VIX_PROXY,yfinance_vix_proxy,index,26.1
