effective_from,effective_to,event_date,event_type,expected_channel,note,scope,severity,source_url
,,2018-02-16,tet_proximity,premium_spike,Tết proximity (Tết 2018: 2018-02-16),domestic_vietnam,high,
,,2019-01-22,tet_proximity,premium_spike,Tết proximity (Tết 2019: 2019-02-05),domestic_vietnam,low,
,,2019-01-23,tet_proximity,premium_spike,Tết proximity (Tết 2019: 2019-02-05),domestic_vietnam,low,
,,2019-01-24,tet_proximity,premium_spike,Tết proximity (Tết 2019: 2019-02-05),domestic_vietnam,low,
,,2019-01-25,tet_proximity,premium_spike,Tết proximity (Tết 2019: 2019-02-05),domestic_vietnam,low,
,,2019-01-26,tet_proximity,premium_spike,Tết proximity (Tết 2019: 2019-02-05),domestic_vietnam,low,
,,2019-01-27,tet_proximity,premium_spike,Tết proximity (Tết 2019: 2019-02-05),domestic_vietnam,medium,
,,2019-01-28,tet_proximity,premium_spike,Tết proximity (Tết 2019: 2019-02-05),domestic_vietnam,medium,
,,2019-01-29,tet_proximity,premium_spike,Tết proximity (Tết 2019: 2019-02-05),domestic_vietnam,medium,
,,2019-01-30,tet_proximity,premium_spike,Tết proximity (Tết 2019: 2019-02-05),domestic_vietnam,medium,
,,2019-01-31,tet_proximity,premium_spike,Tết proximity (Tết 2019: 2019-02-05),domestic_vietnam,high,
,,2019-02-01,tet_proximity,premium_spike,Tết proximity (Tết 2019: 2019-02-05),domestic_vietnam,high,
,,2019-02-02,tet_proximity,premium_spike,Tết proximity (Tết 2019: 2019-02-05),domestic_vietnam,high,
,,2019-02-03,tet_proximity,premium_spike,Tết proximity (Tết 2019: 2019-02-05),domestic_vietnam,high,
,,2019-02-04,tet_proximity,premium_spike,Tết proximity (Tết 2019: 2019-02-05),domestic_vietnam,high,
,,2019-02-05,tet_proximity,premium_spike,Tết proximity (Tết 2019: 2019-02-05),domestic_vietnam,high,
,,2020-01-11,tet_proximity,premium_spike,Tết proximity (Tết 2020: 2020-01-25),domestic_vietnam,low,
,,2020-01-12,tet_proximity,premium_spike,Tết proximity (Tết 2020: 2020-01-25),domestic_vietnam,low,
,,2020-01-13,tet_proximity,premium_spike,Tết proximity (Tết 2020: 2020-01-25),domestic_vietnam,low,
,,2020-01-14,tet_proximity,premium_spike,Tết proximity (Tết 2020: 2020-01-25),domestic_vietnam,low,
,,2020-01-15,tet_proximity,premium_spike,Tết proximity (Tết 2020: 2020-01-25),domestic_vietnam,low,
,,2020-01-16,tet_proximity,premium_spike,Tết proximity (Tết 2020: 2020-01-25),domestic_vietnam,medium,
,,2020-01-17,tet_proximity,premium_spike,Tết proximity (Tết 2020: 2020-01-25),domestic_vietnam,medium,
,,2020-01-18,tet_proximity,premium_spike,Tết proximity (Tết 2020: 2020-01-25),domestic_vietnam,medium,
,,2020-01-19,tet_proximity,premium_spike,Tết proximity (Tết 2020: 2020-01-25),domestic_vietnam,medium,
,,2020-01-20,tet_proximity,premium_spike,Tết proximity (Tết 2020: 2020-01-25),domestic_vietnam,high,
,,2020-01-21,tet_proximity,premium_spike,Tết proximity (Tết 2020: 2020-01-25),domestic_vietnam,high,
,,2020-01-22,tet_proximity,premium_spike,Tết proximity (Tết 2020: 2020-01-25),domestic_vietnam,high,
,,2020-01-23,tet_proximity,premium_spike,Tết proximity (Tết 2020: 2020-01-25),domestic_vietnam,high,
,,2020-01-24,tet_proximity,premium_spike,Tết proximity (Tết 2020: 2020-01-25),domestic_vietnam,high,
,,2020-01-25,tet_proximity,premium_spike,Tết proximity (Tết 2020: 2020-01-25),domestic_vietnam,high,
,,2021-01-29,tet_proximity,premium_spike,Tết proximity (Tết 2021: 2021-02-12),domestic_vietnam,low,
,,2021-01-30,tet_proximity,premium_spike,Tết proximity (Tết 2021: 2021-02-12),domestic_vietnam,low,
,,2021-01-31,tet_proximity,premium_spike,Tết proximity (Tết 2021: 2021-02-12),domestic_vietnam,low,
,,2021-02-01,tet_proximity,premium_spike,Tết proximity (Tết 2021: 2021-02-12),domestic_vietnam,low,
,,2021-02-02,tet_proximity,premium_spike,Tết proximity (Tết 2021: 2021-02-12),domestic_vietnam,low,
,,2021-02-03,tet_proximity,premium_spike,Tết proximity (Tết 2021: 2021-02-12),domestic_vietnam,medium,
,,2021-02-04,tet_proximity,premium_spike,Tết proximity (Tết 2021: 2021-02-12),domestic_vietnam,medium,
,,2021-02-05,tet_proximity,premium_spike,Tết proximity (Tết 2021: 2021-02-12),domestic_vietnam,medium,
,,2021-02-06,tet_proximity,premium_spike,Tết proximity (Tết 2021: 2021-02-12),domestic_vietnam,medium,
,,2021-02-07,tet_proximity,premium_spike,Tết proximity (Tết 2021: 2021-02-12),domestic_vietnam,high,
,,2021-02-08,tet_proximity,premium_spike,Tết proximity (Tết 2021: 2021-02-12),domestic_vietnam,high,
,,2021-02-09,tet_proximity,premium_spike,Tết proximity (Tết 2021: 2021-02-12),domestic_vietnam,high,
,,2021-02-10,tet_proximity,premium_spike,Tết proximity (Tết 2021: 2021-02-12),domestic_vietnam,high,
,,2021-02-11,tet_proximity,premium_spike,Tết proximity (Tết 2021: 2021-02-12),domestic_vietnam,high,
,,2021-02-12,tet_proximity,premium_spike,Tết proximity (Tết 2021: 2021-02-12),domestic_vietnam,high,
,,2022-01-18,tet_proximity,premium_spike,Tết proximity (Tết 2022: 2022-02-01),domestic_vietnam,low,
,,2022-01-19,tet_proximity,premium_spike,Tết proximity (Tết 2022: 2022-02-01),domestic_vietnam,low,
,,2022-01-20,tet_proximity,premium_spike,Tết proximity (Tết 2022: 2022-02-01),domestic_vietnam,low,
,,2022-01-21,tet_proximity,premium_spike,Tết proximity (Tết 2022: 2022-02-01),domestic_vietnam,low,
,,2022-01-22,tet_proximity,premium_spike,Tết proximity (Tết 2022: 2022-02-01),domestic_vietnam,low,
,,2022-01-23,tet_proximity,premium_spike,Tết proximity (Tết 2022: 2022-02-01),domestic_vietnam,medium,
,,2022-01-24,tet_proximity,premium_spike,Tết proximity (Tết 2022: 2022-02-01),domestic_vietnam,medium,
,,2022-01-25,tet_proximity,premium_spike,Tết proximity (Tết 2022: 2022-02-01),domestic_vietnam,medium,
,,2022-01-26,tet_proximity,premium_spike,Tết proximity (Tết 2022: 2022-02-01),domestic_vietnam,medium,
,,2022-01-27,tet_proximity,premium_spike,Tết proximity (Tết 2022: 2022-02-01),domestic_vietnam,high,
,,2022-01-28,tet_proximity,premium_spike,Tết proximity (Tết 2022: 2022-02-01),domestic_vietnam,high,
,,2022-01-29,tet_proximity,premium_spike,Tết proximity (Tết 2022: 2022-02-01),domestic_vietnam,high,
,,2022-01-30,tet_proximity,premium_spike,Tết proximity (Tết 2022: 2022-02-01),domestic_vietnam,high,
